 Count  Overhead File                    Line Function
     7         0 @Base\mpfr.jl          1051 _precision_with_base_2
     7         1 @Float3109s\src\values.jl   97 ValueOf(fmt::Main.ProfRun.Format,…
     7         0 @Float3109s\src\values.jl  150 _decode_positive_half(fmt::Main.P…
     7         0 @Base\gmp.jl            501 mod
     7         0 @Base\gmp.jl            172 fdiv_r(a::BigInt, b::BigInt)
     7         7 @Base\gmp.jl           1067 mul!(z::Rational{BigInt}, x::Rati…
     7         6 @Base\strings\io.jl     138 print_to_string(::String, ::Varar…
     7         7 @Base\gmp.jl           1040 add!(z::Rational{BigInt}, x::Rati…
     7         0 @Base\strings\substring.jl  234 string
     7         0 @Base\mpfr.jl           247 rounding_raw
     8         0 @Base\mpfr.jl           375 BigFloat(x::BigInt)
     8         2 @Float3109s\src\values.jl  100 ValueOf(fmt::Main.ProfRun.Format,…
     8         0 @Base\gmp.jl            729 ==
     8         0 @Base\gmp.jl            629 cmp
     9         0 @Base\gmp.jl            306 tryparse_internal(::Type{BigInt},…
     9         9 @Base\gmp.jl            253 set_str!
     9         0 @Float3109s\src\Printf2.jl 1089 _normalize_a_string_to_leading_on…
    10         0 @Base\scopedvalues.jl   213 get
    10        10 @Base\dict.jl          1006 get(dict::Base.PersistentDict{Bas…
    10         0 @Float3109s\src\Printf2.jl 1070 _normalize_a_string_to_leading_on…
    10         0 @Base\parse.jl          253 parse
    10         0 @Base\parse.jl          254 parse(::Type{BigInt}, s::String; …
    10         0 @Base\gmp.jl            332 BigInt(x::Int128)
    11        11 @Base\gmp.jl            185 mul_2exp!
    11         0 @Base\gmp.jl            994 Rational{BigInt}(num::BigInt, den…
    11         0 @Base\gmp.jl            208 set(a::BigInt)
    11         0 @Base\gmp.jl            493 big
    12         0 @Base\rational.jl        48 Rational
    13         0 @Base\gmp.jl           1097 +(x::Rational{BigInt}, y::Rationa…
    13         0 @Base\operators.jl      727 <<
    13         0 @Base\gmp.jl            572 <<
    13         0 @Base\gmp.jl            186 mul_2exp(a::BigInt, b::UInt64)
    14         0 @Base\some.jl           157 macro expansion
    14         0 @Base\gmp.jl           1097 *(x::Rational{BigInt}, y::Rationa…
    14         0 @Base\rational.jl        49 Rational
    14         1 @Base\strings\io.jl     184 string
    14         9 @Float3109s\src\values.jl  141 _decode_positive_half(fmt::Main.P…
    15         0 @Base\rational.jl        91 //
    18         1 @Float3109s\src\values.jl    ? _decode_positive_half(fmt::Main.P…
    18         0 @Base\number.jl           7 convert
    19         0 @Base\gmp.jl            332 BigInt
    23        20 @Base\mpfr.jl           623 /(x::BigFloat, y::BigFloat)
    25         0 @Float3109s\src\support.jl   19 dyadic_twopow(n::Int64)
    26         0 stdin                    60 run_hextab_like()
    27         0 stdin                    57 run_hextab_like()
    29         0 @Base\gmp.jl            315 BigInt
    29         0 @Base\gmp.jl            218 set_si(a::Int32)
    41         1 @Base\mpfr.jl           398 (::Base.MPFR.var"#19#20"{Rational…
    47        47 @Base\gmp.jl            157 init2!
    48        14 @Float3109s\src\values.jl  152 _decode_positive_half(fmt::Main.P…
    49         0 @Base\mpfr.jl           394 BigFloat(x::Rational{BigInt})
    49         0 @Base\mpfr.jl           394 BigFloat
    49         0 @Base\mpfr.jl           396 #BigFloat#14
    49         0 @Base\mpfr.jl          1213 setprecision
    49         0 @Base\mpfr.jl          1214 setprecision(f::Base.MPFR.var"#17…
    49         0 @Base\mpfr.jl           397 #17
    49         2 @Base\mpfr.jl           250 setrounding_raw(f::Base.MPFR.var"…
    52         0 @CSV\src\write.jl       301 with(f::CSV.var"#90#91"{Bool, Boo…
    52        52 @Base\iostream.jl        43 close(s::IOStream)
    57        10 @Base\gmp.jl             70 _
    62         0 @Float3109s\src\Printf2.jl  512 fmt(buf::Vector{UInt8}, pos::Int6…
    62        62 @Float3109s\src\Printf2.jl  493 _snprintf2
    63         0 @Base\gmp.jl             69 BigInt
    64         0 @Float3109s\src\Printf2.jl  952 format(f::Main.ProfRun.Printf2.Fo…
    64         0 @Float3109s\src\Printf2.jl  842 format
    64         0 @Float3109s\src\Printf2.jl  315 fmt
    93         0 @CSV\src\write.jl       213 #write#88
    93         0 @Base\boot.jl           672 Array
    93         0 @CSV\src\write.jl       287 with(f::CSV.var"#90#91"{Bool, Boo…
    93         0 @Base\iostream.jl       389 open(fname::String, mode::String)
    93         0 @Base\iostream.jl       390 open(fname::String, mode::String;…
    93         0 @Base\iostream.jl       306 open
    93        93 @Base\iostream.jl       324 open(fname::String; lock::Bool, r…
    99        98 @Base\boot.jl           612 GenericMemory
   109         6 @Float3109s\src\values.jl  106 ValueOf(fmt::Main.ProfRun.Format,…
   120         0 @Float3109s\src\Printf2.jl 1155 kwcall(::@NamedTuple{subnormal::B…
   120         0 @Float3109s\src\Printf2.jl 1156 #sprintf2a#2
   150         0 @CSV\src\write.jl       215 #write#88
   176        39 @Float3109s\src\values.jl    ? AllValuesOf(fmt::Main.ProfRun.For…
   180         0 @Float3109s\src\hexstrings.jl    4 AllHexStringValuesOf(fmt::Main.Pr…
   183        11 @Float3109s\src\hexstrings.jl   34 AllHexStringValuesOf(fmt::Main.Pr…
   219         0 stdin                    45 run_hextab_like()
   243         0 @CSV\src\write.jl       199 write(file::String, itr::@NamedTu…
   243         0 @CSV\src\write.jl       203 kwcall(::@NamedTuple{append::Bool…
   245         0 @CSV\src\write.jl       162 write(file::String, itr::@NamedTu…
   352         0 stdin                    42 run_hextab_like()
   632         0 @Base\client.jl         577 _start()
   632         0 @Base\client.jl         342 exec_options(opts::Base.JLOptions)
   632         0 @Base\loading.jl       3098 include_string
   632         0 @Base\loading.jl       3088 include_string(mapexpr::typeof(id…
   632         0 @Base\boot.jl           489 eval(m::Module, e::Any)
   632         0 stdin                    69 top-level scope
Total snapshots: 660. Utilization: 100% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
